id,transport_type,name,lat,lon,operator,network,route_ref,shelter,bench,wheelchair,tactile_paving,covered,lit,departures_board,capacity,fee,payment,level,line,railway,amenity,rental,elevator,escalator,steps,entrance,accessibility_score,accessibility_level,accessibility_factors
"bus_('node', 6821401712)",bus,,41.1812078,-8.6543133,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 6821401713)",bus,Sete Bicas,41.1827892,-8.6531496,STCP,Andante,,no,yes,,,,no,timetable,,,,,,,,,,,,,43,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada; com banco para sentar
"bus_('node', 6853095963)",bus,José Domingues Santos,41.2413758,-8.6999059,Maré de Matosinhos,Andante,,yes,yes,,,,,no,,,,,,,,,,,,,73,Boa,acessibilidade não especificada; com abrigo contra chuva/vento; parada com nome identificado; rotas claramente identificadas; operadora identificada; com banco para sentar
"bus_('node', 6853095964)",bus,Gândara,41.2435255,-8.7001077,Maré de Matosinhos,Andante,,no,,,,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 6853095965)",bus,Barreiro,41.2461836,-8.7008615,Maréd e Matosinhos,Andante,,yes,yes,,,,,no,,,,,,,,,,,,,73,Boa,acessibilidade não especificada; com abrigo contra chuva/vento; parada com nome identificado; rotas claramente identificadas; operadora identificada; com banco para sentar
"bus_('node', 6853095966)",bus,Escola EB1 Cabanelas,41.2483081,-8.7008246,Maré de Matosinhos,Andante,,yes,yes,,,,,no,,,,,,,,,,,,,73,Boa,acessibilidade não especificada; com abrigo contra chuva/vento; parada com nome identificado; rotas claramente identificadas; operadora identificada; com banco para sentar
"bus_('node', 6853095967)",bus,Escola EB2/3 José Domingues Santos,41.2501139,-8.7023736,Maré de Matosinhos,Andante,,yes,yes,,,,,no,,,,,,,,,,,,,73,Boa,acessibilidade não especificada; com abrigo contra chuva/vento; parada com nome identificado; rotas claramente identificadas; operadora identificada; com banco para sentar
"bus_('node', 6853095968)",bus,Centro Saúde Cabanelas,41.2519849,-8.704996,Maré de Matosinhos,Andante,,no,no,,no,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 6853095969)",bus,R. da Cruz,41.2533071,-8.7067991,Maré de Matosinhos,Andante,,yes,yes,,no,,,no,,,,,,,,,,,,,73,Boa,acessibilidade não especificada; com abrigo contra chuva/vento; parada com nome identificado; rotas claramente identificadas; operadora identificada; com banco para sentar
"bus_('node', 6853095970)",bus,Brévia,41.254502,-8.7096415,Maré de Matosinhos,Andante,,no,no,,no,,no,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 6853095971)",bus,Castanheiros,41.2561582,-8.711401,Maré de Matosinhos,Andante,,yes,yes,,no,,no,no,,,,,,,,,,,,,73,Boa,acessibilidade não especificada; com abrigo contra chuva/vento; parada com nome identificado; rotas claramente identificadas; operadora identificada; com banco para sentar
"bus_('node', 6853095972)",bus,Antela,41.2574277,-8.7148062,Maré de Matosinhos,Andante,,no,no,,no,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 6853095973)",bus,Junta freguesia Lavra,41.2595089,-8.717527,Maré de Matosinhos,Andante,,no,,,,,,no,,,,,,,,,,,,,35,Limitada,acessibilidade não especificada; sem proteção climática; parada com nome identificado; rotas claramente identificadas; operadora identificada
"bus_('node', 6853095974)",bus,Clínica Angeiras,41.2657892,-8.716278,,,,,,,,,,,,,,,,,,,,,,,40,Limitada,acessibilidade não especificada; proteção climática não especificada; parada com nome identificado; rotas claramente identificadas; operadora identificada
