paragem_nome,gid_DMT,gid_AMP,Situação,Designaç,Designa_1,nome_oficial,Local,Freguesia,Linhas_STC,Linhas_UNI,Zona_Andan,longitude,latitude
Rua 5 de Outubro,327,0,Ativa,Via Norte,Via Norte,Via Norte,Rua 5 de Outubro,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)",506,"5010, 5011, 5104",MAI1,-8.626250599131598,41.19093643423016
Rua 5 de Outubro,328,0,Ativa,Picoutos,Picoutos,Picoutos,Rua 5 de Outubro,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),506,"5010, 5011, 5104",MAI1,-8.623613057633012,41.19139795006265
Rua 5 de Outubro,329,0,Ativa,Picoutos,Picoutos,Picoutos,Rua 5 de Outubro,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),506,"5010, 5011, 5104",MAI1,-8.623386576399298,41.19140049737481
Rua Godinho de Faria,336,0,Ativa,C. Saúde S. Mamede,C. Saúde S. Mamede,C. Saúde S. Mamede,Rua Godinho de Faria,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"600, 4M","6305, 6313",MAI1,-8.610992850008707,41.19749099292292
Rua Godinho de Faria,337,0,Ativa,Abel Salazar,Abel Salazar,Abel Salazar,Rua Godinho de Faria,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"600, 4M","6305, 6313",MAI1,-8.611892910249516,41.20028736470087
Rua Godinho de Faria,338,0,Ativa,Abel Salazar,Abel Salazar,Abel Salazar,Rua Godinho de Faria,São Mamede de Infesta (União das freguesias de São Mamede de Infesta e Senhora da Hora),"600, 4M","6305, 6313",MAI1,-8.611804958831547,41.20031501868472
Rua Santana,340,0,Ativa,Pedro Mesquita,Pedro Mesquita,Pedro Mesquita,Rua Santana,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","600, 4M","6305, 6313",MAI1,-8.614806733287038,41.20561197474448
Rua Santana,341,0,Ativa,Pedro Mesquita,Pedro Mesquita,Pedro Mesquita,Rua Santana,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","600, 4M","6305, 6313",MAI1,-8.614152052246578,41.20669514623909
Rua Santana,342,0,Ativa,Tv. Feira,Tv. Feira,Tv. Feira,Rua Santana,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)","600, 4M","6305, 6313",MAI1,-8.61330781581055,41.21026424481429
Largo Capela S. Sebastião,346,0,Ativa,Lgo. Da Capela,Lgo. Da Capela,Lgo. Da Capela,Largo Capela S. Sebastião,"Leça do Balio (União das freguesias de Custóias, Leça do Balio e Guifões)",505,N/A,MAI1,-8.623379668769635,41.206698718270765
Rua Porto Mouro,353,0,Ativa,Reguinho D'Água,Reguinho D'Água,Reguinho D'Água,Rua Porto Mouro,"Guifões (União das freguesias de Custóias, Leça do Balio e Guifões)",503,"5014, 5102",MTS1,-8.657924251744886,41.203621282831755
Rua Porto Mouro,354,0,Ativa,Reguinho D'Água,Reguinho D'Água,Reguinho D'Água,Rua Porto Mouro,"Guifões (União das freguesias de Custóias, Leça do Balio e Guifões)",503,"5014, 5102",MTS1,-8.658007488775663,41.20357682939543
Rua Gatões,357,0,Ativa,R. Gatões,Lomba (Gatões),R. Gatões,Rua Gatões,"Guifões (União das freguesias de Custóias, Leça do Balio e Guifões)",503,"5014, 5102",MTS1,-8.66020436483573,41.2073112782246
